,Model,Select-Method,Select-Function,Feature-Count,Train-S,Test-S,R2,RMSE,AE
0,LinearRegression,SelectFromModel,Ridge,3,0.033341304479742484,0.033531697203342925,0.033531697203342925,22370.364050157998,14827.345790283398
1,DecisionTreeRegressor,SelectFromModel,Ridge,3,0.07235061121541697,0.06112306374543597,0.06112306374543597,22048.730012744887,14563.51556963023
2,LinearRegression,SelectFromModel,Lasso,14,0.08730728973922497,0.08651322202487599,0.08651322202487599,21748.55349017052,14576.271038617022
3,DecisionTreeRegressor,SelectFromModel,Lasso,14,1.0,0.9119963711356001,0.9119963711356001,6750.400413497716,2418.1635686441955
4,LinearRegression,SelectFromModel,DecisionTreeRegressor,2,0.08172264825872577,0.08121966698949368,0.08121966698949368,21811.477695437112,14605.193259594716
5,DecisionTreeRegressor,SelectFromModel,DecisionTreeRegressor,2,0.8974580321552058,0.8969723408639987,0.8969723408639987,7303.922568731258,2870.292914380886
6,LinearRegression,Recursive,LinearRegression,1,0.033094960040099264,0.03345216181545918,0.03345216181545918,22371.284514374307,14830.067156736968
7,DecisionTreeRegressor,Recursive,LinearRegression,1,0.0352928635838482,0.03603427588873398,0.03603427588873398,22341.38230075412,14806.173393374687
8,LinearRegression,Recursive,DecisionTreeRegressor,1,0.022035624115848362,0.021598470555539876,0.021598470555539873,22508.046602890205,15166.61885223839
9,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,1,0.5368755310316351,0.5364978536153087,0.5364978536153087,15491.915484185163,8628.221687638568
10,LinearRegression,Recursive,LinearRegression,2,0.033302147966376205,0.033490832745151966,0.033490832745151966,22370.83697986552,14829.366035903153
11,DecisionTreeRegressor,Recursive,LinearRegression,2,0.03552497319724279,0.036051576299888644,0.036051576299888644,22341.181818089583,14805.696657468437
12,LinearRegression,Recursive,DecisionTreeRegressor,2,0.08172264825872577,0.08121966698949368,0.08121966698949368,21811.477695437112,14605.193259594716
13,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,2,0.8974580321552057,0.8969723408639987,0.8969723408639987,7303.922568731258,2870.292914380886
14,LinearRegression,Recursive,LinearRegression,3,0.033341304479742484,0.033531697203342925,0.033531697203342925,22370.364050157998,14827.345790283398
15,DecisionTreeRegressor,Recursive,LinearRegression,3,0.07235061121541697,0.06112306374543597,0.06112306374543597,22048.730012744887,14563.51556963023
16,LinearRegression,Recursive,DecisionTreeRegressor,3,0.08215286917003006,0.08141014754905529,0.08141014754905529,21809.21661208324,14601.811312458814
17,DecisionTreeRegressor,Recursive,DecisionTreeRegressor,3,0.9957084274964,0.8631858046088537,0.8631858046088537,8416.757692317306,2844.752673392847
18,LinearRegression,Recursive,LinearRegression,4,0.05564369754176035,0.055177163074028424,0.055177163074028424,22118.43704518812,14866.795041281523
19,DecisionTreeRegressor,Recursive,LinearRegression,4,0.884666460411561,0.6634995814414638,0.6634995814414638,13199.942780244759,6695.254980075123
